"RUN"	"Protein"	"LogIntensities"	"NumMeasuredFeature"	"MissingPercentage"	"more50missing"	"NumImputedFeature"	"originalRUN"	"GROUP"	"GROUP_ORIGINAL"	"SUBJECT_ORIGINAL"	"SUBJECT_NESTED"	"SUBJECT"
"1"	"sp|O00469|PLOD2_HUMAN"	10.3039941776448	17	0	FALSE	0	"1"	"1"	"Normal"	"1"	"1.1"	"1"
"2"	"sp|O00469|PLOD2_HUMAN"	9.8466326929698	15	0.117647058823529	FALSE	2	"2"	"1"	"Normal"	"2"	"1.2"	"2"
"3"	"sp|O00469|PLOD2_HUMAN"	11.3813483578824	17	0	FALSE	0	"3"	"1"	"Normal"	"3"	"1.3"	"3"
"4"	"sp|O00469|PLOD2_HUMAN"	9.33536988729185	17	0	FALSE	0	"4"	"1"	"Normal"	"4"	"1.4"	"4"
"5"	"sp|O00469|PLOD2_HUMAN"	9.15296332967172	17	0	FALSE	0	"5"	"1"	"Normal"	"5"	"1.5"	"5"
"6"	"sp|O00469|PLOD2_HUMAN"	8.96890896613747	17	0	FALSE	0	"6"	"1"	"Normal"	"6"	"1.6"	"6"
"7"	"sp|O00469|PLOD2_HUMAN"	10.2269485657263	15	0.117647058823529	FALSE	2	"7"	"1"	"Normal"	"7"	"1.7"	"7"
"8"	"sp|O00469|PLOD2_HUMAN"	9.97505970891017	15	0.117647058823529	FALSE	2	"8"	"1"	"Normal"	"8"	"1.8"	"8"
"9"	"sp|O00469|PLOD2_HUMAN"	8.50823825968882	15	0.117647058823529	FALSE	2	"9"	"1"	"Normal"	"9"	"1.9"	"9"
"10"	"sp|O00469|PLOD2_HUMAN"	10.8971066801469	17	0	FALSE	0	"10"	"1"	"Normal"	"10"	"1.10"	"10"
"11"	"sp|O00469|PLOD2_HUMAN"	10.2121182935395	17	0	FALSE	0	"11"	"1"	"Normal"	"11"	"1.11"	"11"
"12"	"sp|O00469|PLOD2_HUMAN"	9.91810775046574	17	0	FALSE	0	"12"	"1"	"Normal"	"12"	"1.12"	"12"
"13"	"sp|O00469|PLOD2_HUMAN"	10.8820919533083	17	0	FALSE	0	"13"	"1"	"Normal"	"13"	"1.13"	"13"
"14"	"sp|O00469|PLOD2_HUMAN"	9.26959313387488	15	0.117647058823529	FALSE	2	"14"	"1"	"Normal"	"14"	"1.14"	"14"
